model,layer,layer_norm,nmi_lang_k6,nmi_concept_k6,nmi_lang_k3,nmi_concept_k3
llama-3.2-3b,0,0.0,0.5311622667870473,0.0009500172103039672,0.5539309806295853,0.00013753556609254748
llama-3.2-3b,1,0.03571428571428571,0.5297345902784716,0.0015310813300116167,0.5445937088683402,0.00026716260760469625
llama-3.2-3b,2,0.07142857142857142,0.831536883608962,0.000913629463643822,0.559244423867506,0.00021146657363056216
llama-3.2-3b,3,0.10714285714285714,0.8363809452823727,0.0010695093817138948,0.5706485868144552,0.00021853641192326494
llama-3.2-3b,4,0.14285714285714285,0.8430551624493868,0.0009631211295531087,0.572907123825574,0.0002052966949432662
llama-3.2-3b,5,0.17857142857142858,0.6733625096947524,0.0011578542183020941,0.6385005317485936,0.00016759792111414764
llama-3.2-3b,6,0.21428571428571427,0.6509083749211642,0.001024103393457696,0.49929970452856026,0.0022668363875803957
llama-3.2-3b,7,0.25,0.5933755026125884,0.0018596330214770594,0.45687527407943795,0.005119897512033309
llama-3.2-3b,8,0.2857142857142857,0.09071623129692756,0.06105773602100776,0.13631496680025335,0.012810797614663489
llama-3.2-3b,9,0.32142857142857145,0.15627035408796722,0.045300595710990606,0.02862666271064591,0.058517308784987135
llama-3.2-3b,10,0.35714285714285715,0.182623671892423,0.04296097490728085,0.10011206950273795,0.03374683034549126
llama-3.2-3b,11,0.39285714285714285,0.21730283904568484,0.06050046419500832,0.15176115932157075,0.03227001368882205
llama-3.2-3b,12,0.42857142857142855,0.20538766313524795,0.08105136170694689,0.1262564431486094,0.051993952141187565
llama-3.2-3b,13,0.4642857142857143,0.24097548750231146,0.0723891485677499,0.19267154257887942,0.034096047968527395
llama-3.2-3b,14,0.5,0.3508404421408536,0.017325590979272724,0.30894710939951453,0.02584579979957755
llama-3.2-3b,15,0.5357142857142857,0.5485660163970211,0.016680555116225782,0.30426596349939583,0.02005636207350564
llama-3.2-3b,16,0.5714285714285714,0.5950203992739029,0.0017784479661340342,0.5540520053174106,0.002871615959436375
llama-3.2-3b,17,0.6071428571428571,0.6494948688880305,0.0013370934433145412,0.5953799124672402,0.0018424766051870183
llama-3.2-3b,18,0.6428571428571429,0.894681767612597,0.0006262527140285434,0.689480035302583,0.0002503337664600655
llama-3.2-3b,19,0.6785714285714286,0.8457372940765752,0.000729635405698119,0.6992216806051351,0.00022031437201749558
llama-3.2-3b,20,0.7142857142857143,0.9313618665242711,0.00038972583533712575,0.7040723540198033,0.00022574685556635372
llama-3.2-3b,21,0.75,0.6811756617985336,0.0009088772041698352,0.6931791874022711,0.0002286313603443752
llama-3.2-3b,22,0.7857142857142857,0.994090567323417,0.0002752724252487624,0.719183181572427,0.00022174514996266652
llama-3.2-3b,23,0.8214285714285714,0.9908277463897361,0.00026995029408952793,0.744612043356589,0.0001380647805081702
llama-3.2-3b,24,0.8571428571428571,0.9927066771478325,0.000256455316063457,0.7092234942395031,0.00015848112381971582
llama-3.2-3b,25,0.8928571428571429,0.9935659878633647,0.00025554744958988817,0.7183924345483467,7.922091558308053e-05
llama-3.2-3b,26,0.9285714285714286,0.9928408245756055,0.00028489382943222823,0.7198535550978897,7.610628649953256e-05
llama-3.2-3b,27,0.9642857142857143,0.995143151694901,0.00027752012052420353,0.7198535550978897,7.610628649953253e-05
llama-3.2-3b,28,1.0,0.9941420672333657,0.0002636709309587096,0.6509185514424627,0.00017131992655627245
mistral-7b-v0.3,0,0.0,0.5431127513857495,0.0013146234562462602,0.5265063394039847,0.00026732193030621124
mistral-7b-v0.3,1,0.03125,0.8067177411200599,0.0009270275071858183,0.5387343518261937,0.00026267446971403873
mistral-7b-v0.3,2,0.0625,0.8429910775562035,0.0008306188048642785,0.5387343518261937,0.00026267446971403873
