raw_n_for_50,cos_n_for_50,raw_n_for_75,cos_n_for_75,raw_n_for_90,cos_n_for_90,raw_n_for_95,cos_n_for_95,raw_n_for_99,cos_n_for_99,model,layer,layer_norm
1,1,2,2,11,9,29,19,85,79,llama-3.2-3b,0,0.0
4,3,20,15,86,78,147,165,492,557,llama-3.2-3b,1,0.03571428571428571
13,11,75,64,219,230,395,429,1106,1168,llama-3.2-3b,2,0.07142857142857142
17,14,102,92,316,339,593,633,1415,1467,llama-3.2-3b,3,0.10714285714285714
40,35,221,224,627,654,1001,1035,1828,1861,llama-3.2-3b,4,0.14285714285714285
59,56,279,279,744,759,1136,1155,1949,1966,llama-3.2-3b,5,0.17857142857142858
64,62,319,322,810,822,1207,1221,2005,2016,llama-3.2-3b,6,0.21428571428571427
81,79,358,360,860,870,1254,1267,2037,2048,llama-3.2-3b,7,0.25
85,84,372,375,884,892,1279,1290,2057,2066,llama-3.2-3b,8,0.2857142857142857
95,95,398,402,921,929,1318,1327,2089,2096,llama-3.2-3b,9,0.32142857142857145
87,88,383,386,906,913,1305,1312,2078,2083,llama-3.2-3b,10,0.35714285714285715
86,87,381,386,898,906,1292,1301,2060,2067,llama-3.2-3b,11,0.39285714285714285
75,76,342,344,839,845,1231,1238,2014,2019,llama-3.2-3b,12,0.42857142857142855
68,68,318,320,809,814,1201,1207,1990,1995,llama-3.2-3b,13,0.4642857142857143
61,61,287,289,748,752,1127,1132,1910,1915,llama-3.2-3b,14,0.5
49,49,252,253,690,695,1063,1070,1862,1868,llama-3.2-3b,15,0.5357142857142857
38,38,206,208,605,609,962,967,1766,1771,llama-3.2-3b,16,0.5714285714285714
29,30,167,169,528,531,872,876,1684,1688,llama-3.2-3b,17,0.6071428571428571
24,24,144,145,481,484,812,816,1623,1628,llama-3.2-3b,18,0.6428571428571429
21,22,128,130,444,447,763,766,1567,1571,llama-3.2-3b,19,0.6785714285714286
20,20,116,119,403,406,702,704,1489,1490,llama-3.2-3b,20,0.7142857142857143
19,19,109,112,392,394,688,690,1472,1474,llama-3.2-3b,21,0.75
14,14,94,96,376,379,680,682,1478,1480,llama-3.2-3b,22,0.7857142857142857
13,13,95,97,394,398,711,715,1516,1520,llama-3.2-3b,23,0.8214285714285714
8,9,72,76,356,364,672,679,1482,1486,llama-3.2-3b,24,0.8571428571428571
8,8,73,78,375,386,701,712,1516,1522,llama-3.2-3b,25,0.8928571428571429
7,7,71,75,368,375,692,699,1508,1512,llama-3.2-3b,26,0.9285714285714286
5,5,45,49,312,324,632,644,1450,1455,llama-3.2-3b,27,0.9642857142857143
3,3,11,11,156,156,403,403,1151,1153,llama-3.2-3b,28,1.0
2,1,2,2,10,7,28,18,67,65,mistral-7b-v0.3,0,0.0
2,2,9,9,63,70,130,158,412,482,mistral-7b-v0.3,1,0.03125
5,5,45,42,164,182,301,359,944,1051,mistral-7b-v0.3,2,0.0625
6,6,56,56,230,263,459,525,1309,1401,mistral-7b-v0.3,3,0.09375
20,19,165,175,561,610,963,1025,1920,1979,mistral-7b-v0.3,4,0.125
31,30,232,238,717,745,1158,1192,2117,2148,mistral-7b-v0.3,5,0.15625
79,76,397,402,989,1009,1457,1483,2392,2417,mistral-7b-v0.3,6,0.1875
92,89,441,446,1062,1080,1540,1562,2468,2488,mistral-7b-v0.3,7,0.21875
116,113,492,495,1129,1143,1608,1625,2523,2539,mistral-7b-v0.3,8,0.25
126,124,511,514,1152,1164,1631,1645,2541,2554,mistral-7b-v0.3,9,0.28125
122,119,512,515,1159,1169,1638,1650,2545,2556,mistral-7b-v0.3,10,0.3125
120,119,512,515,1163,1172,1643,1653,2550,2559,mistral-7b-v0.3,11,0.34375
113,112,488,491,1133,1140,1614,1623,2530,2537,mistral-7b-v0.3,12,0.375
