model,metric,threshold,early,middle,late,inverted_U,ratio_mid_late
llama-3.2-3b,raw,90,506.3333333333333,742.5,357.6,True,2.0763422818791946
llama-3.2-3b,raw,95,782.3333333333334,1118.3,664.4,True,1.6831727874774232
llama-3.2-3b,raw,99,1441.5555555555557,1907.6,1462.9,True,1.3039852348075738
llama-3.2-3b,cos,90,517.0,747.8,362.9,True,2.0606227610912096
llama-3.2-3b,cos,95,801.5555555555555,1124.6,669.4,True,1.6800119510008962
llama-3.2-3b,cos,99,1469.7777777777778,1913.0,1466.3,True,1.3046443429039078
mistral-7b-v0.3,raw,90,657.8181818181819,978.0,497.54545454545456,True,1.9656495523478896
mistral-7b-v0.3,raw,95,992.0909090909091,1450.2727272727273,905.4545454545455,True,1.6017068273092367
mistral-7b-v0.3,raw,99,1748.909090909091,2394.3636363636365,1899.3636363636363,True,1.2606136026420334
mistral-7b-v0.3,cos,90,676.5454545454545,985.9090909090909,504.90909090909093,True,1.9526467410875044
mistral-7b-v0.3,cos,95,1022.0,1460.909090909091,917.0909090909091,True,1.5929817605075338
mistral-7b-v0.3,cos,99,1789.090909090909,2405.2727272727275,1913.7272727272727,True,1.2568524060614699
qwen2.5-7b,raw,90,325.22222222222223,828.7,428.7,True,1.933053417308141
qwen2.5-7b,raw,95,585.8888888888889,1257.4,766.8,True,1.6398017736045907
qwen2.5-7b,raw,99,1336.888888888889,2141.7,1637.3,True,1.3080681609967628
qwen2.5-7b,cos,90,350.22222222222223,840.1,436.6,True,1.9241868987631698
qwen2.5-7b,cos,95,627.2222222222222,1272.6,779.6,True,1.6323755772190864
qwen2.5-7b,cos,99,1390.4444444444443,2156.8,1655.1,True,1.3031236783275937
llama-3.1-8b,raw,90,700.2727272727273,855.4545454545455,397.6363636363636,True,2.1513488797439417
llama-3.1-8b,raw,95,1063.2727272727273,1301.909090909091,760.0,True,1.713038277511962
llama-3.1-8b,raw,99,1884.3636363636363,2247.4545454545455,1716.7272727272727,True,1.3091506036856597
llama-3.1-8b,cos,90,716.0909090909091,862.6363636363636,403.90909090909093,True,2.135719108710331
llama-3.1-8b,cos,95,1088.1818181818182,1310.3636363636363,767.7272727272727,True,1.706808762581409
llama-3.1-8b,cos,99,1919.7272727272727,2255.7272727272725,1724.4545454545455,True,1.3080816068321997
