model,layer,layer_norm,sil_k6,sil_k12,sil_k20,sil_k50,k_star
llama-3.2-3b,0,0.0,0.8143365,0.89626545,0.9332343,0.96237266,50
llama-3.2-3b,1,0.03571428571428571,0.26283935,0.2623443,0.31355163,0.23826633,20
llama-3.2-3b,2,0.07142857142857142,0.09735153,0.08681383,0.14334303,0.08276885,20
llama-3.2-3b,3,0.10714285714285714,0.12903634,0.06807881,0.069866166,0.06798472,6
llama-3.2-3b,4,0.14285714285714285,0.051883984,0.025683014,0.042656086,0.023718968,6
llama-3.2-3b,5,0.17857142857142858,0.022059975,0.030576939,0.023256753,0.014438637,12
llama-3.2-3b,6,0.21428571428571427,0.027091414,0.01669637,0.012889797,0.012147614,6
llama-3.2-3b,7,0.25,0.01113645,0.014884126,0.01498266,0.008318173,20
llama-3.2-3b,8,0.2857142857142857,0.008995522,0.008293753,0.007162709,0.0017215307,6
llama-3.2-3b,9,0.32142857142857145,0.009885679,0.008244999,0.0012861072,0.003011691,6
llama-3.2-3b,10,0.35714285714285715,0.0159087,0.0047867773,0.008957147,0.003225697,6
llama-3.2-3b,11,0.39285714285714285,0.0129865585,0.005599195,0.0032743893,-0.009478288,6
llama-3.2-3b,12,0.42857142857142855,0.014701653,0.0043878974,0.00774378,0.0038026306,6
llama-3.2-3b,13,0.4642857142857143,0.018547507,0.012224056,0.009062298,0.005726731,6
llama-3.2-3b,14,0.5,0.017039293,0.017926043,0.016613968,0.008756731,12
llama-3.2-3b,15,0.5357142857142857,0.010502216,0.014168233,0.011857555,0.007744623,12
llama-3.2-3b,16,0.5714285714285714,0.017692085,0.019856384,0.021679489,0.008430769,20
llama-3.2-3b,17,0.6071428571428571,0.038607817,0.04381868,0.022880835,0.014746237,12
llama-3.2-3b,18,0.6428571428571429,0.05987211,0.045748144,0.019323092,0.020929951,6
llama-3.2-3b,19,0.6785714285714286,0.07522857,0.056571975,0.024819374,0.020714294,6
llama-3.2-3b,20,0.7142857142857143,0.06364948,0.052920282,0.031153714,0.025391402,6
