layer,train_acc,test_acc,n_train,n_test
0,0.36552083333333335,0.34,9600,2400
1,0.5069791666666666,0.4554166666666667,9600,2400
2,0.5980208333333333,0.5004166666666666,9600,2400
3,0.673125,0.5670833333333334,9600,2400
4,0.7801041666666667,0.61375,9600,2400
5,0.8407291666666666,0.6616666666666666,9600,2400
6,0.8707291666666667,0.6870833333333334,9600,2400
7,0.92125,0.7458333333333333,9600,2400
8,0.9564583333333333,0.7675,9600,2400
9,0.9632291666666667,0.7795833333333333,9600,2400
10,0.9723958333333333,0.7916666666666666,9600,2400
11,0.9697916666666667,0.7945833333333333,9600,2400
12,0.98125,0.8025,9600,2400
13,0.9785416666666666,0.7966666666666666,9600,2400
14,0.9766666666666667,0.78,9600,2400
15,0.9754166666666667,0.7754166666666666,9600,2400
16,0.9717708333333334,0.7770833333333333,9600,2400
17,0.9695833333333334,0.7620833333333333,9600,2400
18,0.9664583333333333,0.7620833333333333,9600,2400
19,0.959375,0.7458333333333333,9600,2400
20,0.9563541666666666,0.7341666666666666,9600,2400
21,0.9569791666666667,0.7058333333333333,9600,2400
22,0.9602083333333333,0.69625,9600,2400
23,0.9630208333333333,0.6954166666666667,9600,2400
24,0.9680208333333333,0.6620833333333334,9600,2400
25,0.9708333333333333,0.6570833333333334,9600,2400
26,0.9735416666666666,0.6366666666666667,9600,2400
27,0.976875,0.6075,9600,2400
28,0.9584375,0.5995833333333334,9600,2400
