layer,train_acc,test_acc,n_train,n_test
0,0.5077308817384036,0.47324414715719065,4786,1196
1,0.9945674885081488,0.9933110367892977,4786,1196
2,0.9995821145006268,0.9991638795986622,4786,1196
3,1.0,0.9991638795986622,4786,1196
4,1.0,0.9991638795986622,4786,1196
5,1.0,0.9983277591973244,4786,1196
6,1.0,0.9983277591973244,4786,1196
7,1.0,0.9983277591973244,4786,1196
8,1.0,0.9966555183946488,4786,1196
9,1.0,0.9974916387959866,4786,1196
10,1.0,0.9966555183946488,4786,1196
11,1.0,0.9974916387959866,4786,1196
12,1.0,0.995819397993311,4786,1196
13,1.0,0.995819397993311,4786,1196
14,1.0,1.0,4786,1196
15,1.0,0.9974916387959866,4786,1196
16,1.0,0.9991638795986622,4786,1196
17,1.0,1.0,4786,1196
18,1.0,1.0,4786,1196
19,1.0,1.0,4786,1196
20,1.0,1.0,4786,1196
21,1.0,1.0,4786,1196
22,1.0,1.0,4786,1196
23,1.0,1.0,4786,1196
24,1.0,1.0,4786,1196
25,1.0,1.0,4786,1196
26,1.0,1.0,4786,1196
27,1.0,1.0,4786,1196
28,1.0,1.0,4786,1196
