layer,train_acc,test_acc,n_train,n_test
0,0.33510416666666665,0.32708333333333334,9600,2400
1,0.4039583333333333,0.375,9600,2400
2,0.455625,0.41541666666666666,9600,2400
3,0.5214583333333334,0.5004166666666666,9600,2400
4,0.60625,0.5591666666666667,9600,2400
5,0.6705208333333333,0.62,9600,2400
6,0.7404166666666666,0.6529166666666667,9600,2400
7,0.793125,0.6945833333333333,9600,2400
8,0.8394791666666667,0.72125,9600,2400
9,0.8801041666666667,0.7625,9600,2400
10,0.900625,0.7791666666666667,9600,2400
11,0.9191666666666667,0.7879166666666667,9600,2400
12,0.936875,0.7995833333333333,9600,2400
13,0.9370833333333334,0.7954166666666667,9600,2400
14,0.9510416666666667,0.8070833333333334,9600,2400
15,0.9576041666666667,0.805,9600,2400
16,0.9672916666666667,0.7933333333333333,9600,2400
17,0.9688541666666667,0.79,9600,2400
18,0.9675,0.7725,9600,2400
19,0.968125,0.77,9600,2400
20,0.9665625,0.7570833333333333,9600,2400
21,0.964375,0.74375,9600,2400
22,0.9641666666666666,0.72625,9600,2400
23,0.9672916666666667,0.7166666666666667,9600,2400
24,0.9726041666666667,0.7058333333333333,9600,2400
25,0.9740625,0.6875,9600,2400
26,0.9738541666666667,0.6779166666666666,9600,2400
27,0.9788541666666667,0.6745833333333333,9600,2400
28,0.9813541666666666,0.66625,9600,2400
29,0.9828125,0.63375,9600,2400
30,0.9851041666666667,0.6154166666666666,9600,2400
31,0.98875,0.60125,9600,2400
32,0.9998958333333333,0.58125,9600,2400
