layer,train_acc,test_acc,n_train,n_test
0,0.4068115336397827,0.3695652173913043,4786,1196
1,0.9680317592979524,0.9648829431438127,4786,1196
2,0.9901796907647304,0.9933110367892977,4786,1196
3,0.9977016297534476,0.9966555183946488,4786,1196
4,0.9987463435018805,0.9966555183946488,4786,1196
5,0.9993731717509402,0.9974916387959866,4786,1196
6,1.0,0.9983277591973244,4786,1196
7,1.0,1.0,4786,1196
8,1.0,0.9983277591973244,4786,1196
9,1.0,0.9983277591973244,4786,1196
10,1.0,0.9974916387959866,4786,1196
11,1.0,0.9991638795986622,4786,1196
12,1.0,1.0,4786,1196
13,1.0,1.0,4786,1196
14,1.0,1.0,4786,1196
15,1.0,1.0,4786,1196
16,1.0,1.0,4786,1196
17,1.0,0.9991638795986622,4786,1196
18,1.0,1.0,4786,1196
19,1.0,1.0,4786,1196
20,1.0,1.0,4786,1196
21,1.0,1.0,4786,1196
22,1.0,1.0,4786,1196
23,1.0,1.0,4786,1196
24,1.0,1.0,4786,1196
25,1.0,1.0,4786,1196
26,1.0,1.0,4786,1196
27,1.0,1.0,4786,1196
28,1.0,1.0,4786,1196
29,1.0,1.0,4786,1196
30,1.0,1.0,4786,1196
31,1.0,1.0,4786,1196
32,1.0,1.0,4786,1196
