layer,train_acc,test_acc,n_train,n_test
0,0.359375,0.33791666666666664,9600,2400
1,0.8275,0.395,9600,2400
2,0.86625,0.4395833333333333,9600,2400
3,0.9061458333333333,0.43875,9600,2400
4,0.9748958333333333,0.5108333333333334,9600,2400
5,0.9983333333333333,0.555,9600,2400
6,0.9985416666666667,0.5575,9600,2400
7,0.9996875,0.575,9600,2400
8,0.9998958333333333,0.6783333333333333,9600,2400
9,0.9998958333333333,0.7041666666666667,9600,2400
10,0.9998958333333333,0.7345833333333334,9600,2400
11,0.9998958333333333,0.7391666666666666,9600,2400
12,0.9998958333333333,0.7670833333333333,9600,2400
13,0.9998958333333333,0.7645833333333333,9600,2400
14,0.9998958333333333,0.7670833333333333,9600,2400
15,0.9998958333333333,0.7816666666666666,9600,2400
16,0.9998958333333333,0.8008333333333333,9600,2400
17,0.9998958333333333,0.80375,9600,2400
18,0.9998958333333333,0.7970833333333334,9600,2400
19,0.9998958333333333,0.7891666666666667,9600,2400
20,0.9998958333333333,0.7720833333333333,9600,2400
21,0.9998958333333333,0.7591666666666667,9600,2400
22,0.9998958333333333,0.7658333333333334,9600,2400
23,0.9998958333333333,0.73125,9600,2400
24,0.9998958333333333,0.7104166666666667,9600,2400
25,0.9998958333333333,0.68875,9600,2400
26,0.9998958333333333,0.6570833333333334,9600,2400
27,0.9996875,0.6175,9600,2400
28,0.99875,0.59625,9600,2400
